"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686244428069548E9,"2023-06-08 19:13:48.070 UTC+02:00"
"PAUSE",2.027257535625016E3,1.686246455331155E9,"2023-06-08 19:47:35.331 UTC+02:00"
