"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.333998680E-2,5.181536327E1,4.694101541E0,2.514696730E0,2.106849849E-1,-1.000000000E0,3.200483309E1,3.200483309E1
4.257494903E1,5.181541957E1,4.694242395E0,4.558844040E0,4.270486355E0,-1.000000000E0,9.600000000E1,9.600000000E1
4.357495332E1,5.181543438E1,4.694166021E0,-1.933242416E0,4.270486355E0,-1.000000000E0,9.600000000E1,9.600000000E1
4.457495761E1,5.181544036E1,4.694169286E0,-1.933760834E0,3.999792337E0,-1.000000000E0,1.280000000E2,1.280000000E2
4.557496214E1,5.181547241E1,4.694188710E0,-1.933242416E0,2.923808813E0,-1.000000000E0,1.280000000E2,1.280000000E2
4.657496560E1,5.181549907E1,4.694175542E0,-1.933242416E0,1.618089318E0,-1.000000000E0,1.280000000E2,1.280000000E2
4.757497096E1,5.181549907E1,4.694175542E0,-1.933242416E0,0.000000000E0,-1.000000000E0,9.600000000E1,9.600000000E1
4.857513213E1,5.181549907E1,4.694175542E0,-1.933242440E0,0.000000000E0,-1.000000000E0,2.000000000E2,2.000000000E2
4.957513690E1,5.181549907E1,4.694175542E0,-1.933242416E0,0.000000000E0,-1.000000000E0,9.601449928E1,9.601449928E1
5.057514548E1,5.181549907E1,4.694175542E0,-1.933242416E0,0.000000000E0,-1.000000000E0,9.601449928E1,9.601449928E1
5.157514930E1,5.181554710E1,4.693938273E0,2.583723368E0,2.422008067E-1,2.502967081E2,6.400966619E1,6.400966619E1
5.257516158E1,5.181554206E1,4.693904444E0,2.571365196E0,2.863514237E-2,2.368209908E2,4.800724964E1,4.800724964E1
5.357516587E1,5.181553905E1,4.693906274E0,2.559506972E0,1.347288396E-2,2.334803725E2,3.200483309E1,3.200483309E1
5.486217594E1,5.181554908E1,4.693886891E0,2.553294905E0,5.472243577E-2,2.303103417E1,3.200483309E1,3.200483309E1
5.586218572E1,5.181553787E1,4.693848743E0,2.569190956E0,9.942528605E-2,3.203387749E1,3.200483309E1,3.200483309E1
5.686219025E1,5.181553865E1,4.693851699E0,2.550191495E0,1.363278925E-1,4.221338652E1,3.200483309E1,3.200483309E1
5.786219978E1,5.181552444E1,4.693866430E0,2.549736938E0,2.332300544E-1,6.946886367E1,2.400362482E1,2.400362482E1
5.886220431E1,5.181549924E1,4.693879772E0,2.523581787E0,3.687852323E-1,9.890807182E1,2.400362482E1,2.400362482E1
5.986220777E1,5.181548957E1,4.693899939E0,2.474696664E0,3.687852323E-1,9.003732266E1,2.400362482E1,2.400362482E1
6.086221766E1,5.181549459E1,4.693917124E0,2.456878617E0,2.126358300E-1,8.028069796E1,2.400362482E1,2.400362482E1
6.186222184E1,5.181549204E1,4.693939429E0,2.470869060E0,1.473314613E-1,6.846829560E1,2.400362482E1,2.400362482E1
6.286223245E1,5.181549434E1,4.693963636E0,2.477424812E0,1.572620124E-1,6.006098843E1,2.400362482E1,2.400362482E1
6.386223710E1,5.181549754E1,4.693981769E0,2.491329212E0,2.029709369E-1,5.617291349E1,2.400362482E1,2.400362482E1
6.486224675E1,5.181549964E1,4.693986855E0,2.503977205E0,1.967825592E-1,5.466890583E1,2.400362482E1,2.400362482E1
6.586225092E1,5.181550211E1,4.693993497E0,2.509688034E0,-1.000000000E0,-1.000000000E0,2.400362482E1,2.400362482E1
6.686226225E1,5.181550556E1,4.694007647E0,2.082967659E0,-1.000000000E0,-1.000000000E0,2.581957149E1,2.581957149E1
6.786226583E1,5.181550884E1,4.694019934E0,1.744650058E0,6.878614426E-2,5.536604958E1,2.640236203E1,2.640236203E1
6.886226988E1,5.181551350E1,4.694031977E0,2.454900568E0,2.365161628E-1,8.190849596E1,2.661984711E1,2.661984711E1
6.986227500E1,5.181552190E1,4.694043132E0,2.533798010E0,2.365161628E-1,4.635278169E1,2.624893313E1,2.624893313E1
7.086227894E1,5.181553090E1,4.694051652E0,2.551647547E0,5.165992379E-1,1.849345264E1,2.662814468E1,2.662814468E1
7.186228299E1,5.181554191E1,4.694063070E0,2.562173498E0,1.081414700E0,2.106825637E1,2.757491721E1,2.757491721E1
7.286228740E1,5.181554710E1,4.694063943E0,2.572633137E0,1.081414700E0,1.485835766E1,3.064624980E1,3.064624980E1
7.386229169E1,5.181555966E1,4.694092326E0,2.577277123E0,1.081414700E0,1.875346428E1,2.830223350E1,2.830223350E1
7.486229551E1,5.181555984E1,4.694109595E0,2.583485311E0,1.080209732E0,2.617596746E1,3.540146237E1,3.540146237E1
7.586230004E1,5.181556573E1,4.694137690E0,2.584106130E0,8.950824142E-1,3.491832102E1,2.789638430E1,2.789638430E1
7.686230397E1,5.181557225E1,4.694154188E0,2.584168212E0,8.950824142E-1,3.728246806E1,2.780637528E1,2.780637528E1
7.786230874E1,5.181557270E1,4.694170142E0,2.584174420E0,8.564078212E-1,5.064305573E1,2.704259328E1,2.704259328E1
7.886231351E1,5.181557139E1,4.694185030E0,2.584175041E0,8.564078212E-1,6.208398118E1,3.438577760E1,3.438577760E1
7.986231744E1,5.181557312E1,4.694199952E0,2.584175103E0,9.472116828E-1,6.680593684E1,3.440383681E1,3.440383681E1
8.086232126E1,5.181557778E1,4.694216717E0,2.584175109E0,9.951266646E-1,6.471871299E1,3.518892902E1,3.518892902E1
8.186232615E1,5.181558208E1,4.694231318E0,2.584175110E0,-1.000000000E0,-1.000000000E0,3.440684119E1,3.440684119E1
8.286233044E1,5.181558553E1,4.694247962E0,1.623549644E0,-1.000000000E0,-1.000000000E0,3.377815357E1,3.377815357E1
8.386233389E1,5.181558837E1,4.694265046E0,8.392408102E-1,-1.000000000E0,-1.000000000E0,3.351186335E1,3.351186335E1
8.486233878E1,5.181558671E1,4.694284733E0,1.830344976E-1,1.170069337E0,9.342985030E1,3.200483309E1,3.200483309E1
8.586234307E1,5.181558762E1,4.694307588E0,2.344061049E0,1.390415907E0,9.308011729E1,3.200483309E1,3.200483309E1
8.686234665E1,5.181558828E1,4.694332142E0,2.560163704E0,1.390415907E0,7.703884429E1,3.200483309E1,3.200483309E1
8.786235166E1,5.181559268E1,4.694355710E0,2.581773969E0,1.553625584E0,7.597027485E1,3.200483309E1,3.200483309E1
8.886235583E1,5.181559917E1,4.694384438E0,2.583934996E0,1.682893038E0,7.471190812E1,3.200483309E1,3.200483309E1
8.986235976E1,5.181560425E1,4.694404638E0,2.584151098E0,-1.000000000E0,-1.000000000E0,3.200483309E1,3.200483309E1
9.086236453E1,5.181560839E1,4.694437119E0,1.264287499E0,-1.000000000E0,-1.000000000E0,3.200483309E1,3.200483309E1
9.186236846E1,5.181560727E1,4.694438626E0,1.637054798E-1,1.682893038E0,7.902795930E1,3.200483309E1,3.200483309E1
9.286237240E1,5.181561382E1,4.694426457E0,2.342128147E0,9.197407961E-1,8.183344584E1,3.200483309E1,3.200483309E1
9.386237669E1,5.181561671E1,4.694422072E0,2.559970414E0,9.197407961E-1,8.217976375E1,3.200483309E1,3.200483309E1
9.486238146E1,5.181562291E1,4.694424222E0,2.581754640E0,9.029644728E-1,8.241797343E1,3.200483309E1,3.200483309E1
9.586238539E1,5.181563134E1,4.694437479E0,2.583933063E0,9.029644728E-1,8.210072480E1,3.200483309E1,3.200483309E1
9.686238921E1,5.181564120E1,4.694463590E0,2.584150905E0,1.343619585E0,8.263596575E1,3.200483309E1,3.200483309E1
9.786239362E1,5.181565092E1,4.694491059E0,2.578751623E0,1.420058370E0,8.275268002E1,3.200483309E1,3.200483309E1
9.886239791E1,5.181565661E1,4.694516400E0,2.568938547E0,1.420058370E0,8.232180437E1,3.200483309E1,3.200483309E1
9.986240220E1,5.181565689E1,4.694533553E0,2.558615428E0,1.420058370E0,8.122181606E1,3.200483309E1,3.200483309E1
1.008624066E2,5.181565782E1,4.694533813E0,2.551770661E0,1.265458226E0,7.397755350E1,3.200483309E1,3.200483309E1
1.018624109E2,5.181565300E1,4.694512133E0,2.550722263E0,1.375760436E0,7.214392092E1,3.200483309E1,3.200483309E1
1.028624148E2,5.181565391E1,4.694520224E0,2.559028830E0,1.375642657E0,7.157485688E1,3.200483309E1,3.200483309E1
1.038624190E2,5.181564604E1,4.694493025E0,2.557023641E0,1.375642657E0,7.161346111E1,3.200483309E1,3.200483309E1
1.048624237E2,5.181564165E1,4.694475566E0,2.566930544E0,1.118988872E0,7.119531693E1,3.200483309E1,3.200483309E1
1.058624282E2,5.181563800E1,4.694449915E0,2.573592926E0,1.118988872E0,7.119138274E1,3.200483309E1,3.200483309E1
1.068624319E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.078624368E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.088624406E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.098624446E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.108624495E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.118624538E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.128624578E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.138624617E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.148624668E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.158624705E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.168624748E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.178624787E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.188624839E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.198624880E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.208624915E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.218624960E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.228625002E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.238625042E2,5.181563800E1,4.694449915E0,2.573592926E0,0.000000000E0,7.119138274E1,3.200483309E1,3.200483309E1
1.248625091E2,5.181562182E1,4.694482660E0,2.582519531E0,7.802386582E-2,6.983802857E1,3.200483309E1,3.200483309E1
