"Time (s)","X (hPa)"
8.435232171E1,1.011924744E3
8.530087271E1,1.011913757E3
8.624938571E1,1.011913757E3
8.719783071E1,1.011914673E3
8.814660971E1,1.011916428E3
8.909542571E1,1.011916428E3
9.004422971E1,1.011909256E3
9.099299871E1,1.011909256E3
9.194190171E1,1.011909256E3
9.289079471E1,1.011902390E3
9.383958671E1,1.011902390E3
9.478845271E1,1.011902771E3
9.573722071E1,1.011903381E3
9.668600971E1,1.011926422E3
9.763483671E1,1.012012100E3
9.858382571E1,1.012021713E3
9.953270471E1,1.012021027E3
1.004817767E2,1.012021027E3
1.014307377E2,1.011990814E3
1.023797277E2,1.011887665E3
1.033287967E2,1.011882324E3
1.042777577E2,1.011869965E3
1.052267467E2,1.011860886E3
1.061758217E2,1.011859894E3
1.071249277E2,1.011859894E3
1.080741267E2,1.011861801E3
1.090232687E2,1.011864624E3
1.099723747E2,1.011868134E3
1.109215047E2,1.011872330E3
1.118706627E2,1.011875763E3
1.128198257E2,1.011878204E3
1.137696427E2,1.011880035E3
1.147193187E2,1.011882477E3
1.156689327E2,1.011885071E3
1.166186677E2,1.011888199E3
1.175684437E2,1.011891556E3
1.185182947E2,1.011895142E3
1.194680677E2,1.011897659E3
1.204178287E2,1.011900864E3
1.213675467E2,1.011900864E3
1.223172937E2,1.011902084E3
1.232671527E2,1.011911392E3
1.242170207E2,1.011911392E3
1.251664357E2,1.011906738E3
1.261157867E2,1.011901321E3
1.270652247E2,1.011892166E3
1.280147547E2,1.011878052E3
1.289643487E2,1.011878052E3
1.299139497E2,1.011888199E3
1.308635647E2,1.011888199E3
1.318129217E2,1.011886063E3
1.327622767E2,1.011886063E3
1.337116697E2,1.011915741E3
1.346610547E2,1.011952286E3
1.356103367E2,1.012475662E3
1.365597157E2,1.013163452E3
1.375092517E2,1.013293762E3
1.384589807E2,1.013397675E3
1.394087017E2,1.013397675E3
1.403586927E2,1.013285828E3
1.413090077E2,1.013285828E3
1.422593667E2,1.013280640E3
1.432095617E2,1.013280640E3
1.441599037E2,1.013189850E3
1.451103517E2,1.013158951E3
1.460607437E2,1.012710419E3
1.470111227E2,1.012429199E3
1.479615147E2,1.012429199E3
1.489119547E2,1.012981110E3
1.498624537E2,1.012996063E3
1.508130017E2,1.013675156E3
1.517635777E2,1.014141159E3
1.527143157E2,1.014141159E3
