"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686681948138932E9,"2023-06-13 20:45:48.139 UTC+02:00"
"PAUSE",1.961295121791714E3,1.686683909434113E9,"2023-06-13 21:18:29.434 UTC+02:00"
