Time (s),X (hPa),X (hPa)_kalman,X (hPa)_kalman_lowpass
79.58585542,1013.482971,1013.5016763300359,1013.4918438308367
80.53321742,1013.415146,1013.4561275037298,1013.4615774500855
81.48107442,1013.413544,1013.4337239001029,1013.4308058760969
82.42844142,1013.3638,1013.3968940771529,1013.4013585523311
83.37574642,1013.3638,1013.3794545493448,1013.3793322578911
84.32308242,1013.365402,1013.3720642637927,1013.3704718096492
85.27046942,1013.381577,1013.3770803530281,1013.3738052340956
86.21792442,1013.382034,1013.3796804919344,1013.3815232047418
87.16546742,1013.38501,1013.3824862667516,1013.386123576642
88.11293942,1013.392792,1013.3879279999094,1013.3868307754343
89.06030342,1013.392792,1013.3905047501929,1013.388040963421
90.00774642,1013.395462,1013.3931066460854,1013.3922828547732
90.95520642,1013.396072,1013.3946600266918,1013.3965880187911
91.90278942,1013.396072,1013.3953955779954,1013.39637861752
92.85037142,1013.386917,1013.3909237729891,1013.3914695835592
93.79787042,1013.386917,1013.3888062996615,1013.3865921508709
94.74533842,1013.386917,1013.387803641163,1013.3862251243656
95.69289842,1013.390656,1013.3893211741232,1013.3906388702267
96.64046942,1013.397903,1013.3938315634982,1013.3979976565083
97.58808042,1013.426056,1013.4108132172054,1013.4092705230945
98.53578342,1013.455887,1013.434535704109,1013.4291711971132
99.48335142,1013.483658,1013.4603896644162,1013.4616603113533
100.4308614,1013.535767,1013.5000743802551,1013.50549286974
101.3784124,1013.603973,1013.5547594298154,1013.5548837504723
102.3259784,1013.658676,1013.6094779034962,1013.6035133152288
103.2735924,1013.678741,1013.6459279555297,1013.6462207385555
104.2213244,1013.699188,1013.6739525470364,1013.6771179502291
105.1690844,1013.699188,1013.687222652721,1013.6893249970636
106.1168464,1013.67981,1013.6833197869372,1013.6803661657544
107.0646154,1013.637314,1013.6591064486214,1013.6586297094211
108.0125154,1013.628464,1013.6429816034578,1013.64144467608
108.9606734,1013.637314,1013.6400056543149,1013.6427922697497
109.9089334,1013.68309,1013.6626969966978,1013.661942101965
110.8570584,1013.699188,1013.6818929642402,1013.6873930977472
111.8051944,1013.762283,1013.7242091316349,1013.7165226775668
112.7533344,1013.824234,1013.7768625483992,1013.7727027003858
113.7015154,1013.997955,1013.8932481851157,1013.8986148291675
114.6498944,1014.304733,1014.1098963413983,1014.1235754136713
115.5983864,1014.73175,1014.4372923068831,1014.4280107796093
116.5468144,1015.055008,1014.7625013766777,1014.735947740338
117.4951094,1015.055008,1014.9164932278954,1014.9474964311594
