Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Velocity (m/s)_kalman,Velocity (m/s)_kalman_lowpass
0.03056204319,51.81558744,4.693841639,-1.93324244,-1.0,-1.0,179.3756656,179.3756656,-0.49420019451688724,-0.4941198765338959
7.555119514,51.81556195,4.694067424,4.473409777,0.3644184768,-1.0,64.0,64.0,-0.09857255440220997,-0.07532609893366021
8.555120111,51.81557697,4.694017818,-0.9919742178,0.4704917073,-1.0,64.0,64.0,0.20956046406534795,0.19592408782685375
9.555121303,51.81551076,4.694003578,2.226560177,0.4384993315,-1.0,48.0,48.0,0.337270537396116,0.32717965309828906
10.55512166,51.81549571,4.694029256,2.500121838,0.4704917073,-1.0,48.0,48.0,0.4120090421267194,0.43928048499973577
11.55512249,51.81549618,4.694017403,2.521404625,0.7733645439,-1.0,48.0,48.0,0.6149542062782875,0.5881312926393704
12.55512297,51.81551158,4.694034122,2.519310033,0.7733645439,-1.0,48.0,48.0,0.7039395222677338,0.6879133579704266
13.55516219,51.81551527,4.694034988,2.539150623,0.4958951771,-1.0,48.0,48.0,0.58706814054951,0.6394730550342879
14.55516291,51.81551557,4.694027082,2.544598809,0.3989923,-1.0,48.0,48.0,0.4814134888648782,0.4929636141954264
15.55516815,51.81551376,4.69404731,2.54331715,0.5102690458,-1.0,48.0,48.0,0.4976235896739202,0.4186715990723825
16.55516791,51.81550617,4.69404714,2.547106297,0.5365164876,-1.0,48.0,48.0,0.5194723440111868,0.5051903971162529
17.55517399,51.81551637,4.694024969,2.541442731,0.5365164876,-1.0,48.0,48.0,0.5290471853404795,0.6380579389369425
18.55517364,51.81553094,4.694012612,2.54319037,0.7091757059,-1.0,48.0,48.0,0.6302374864308454,0.6259549940614456
19.55518007,51.81553057,4.694007611,2.555007208,0.4017669559,-1.0,48.0,48.0,0.5018902277457563,0.4325727903654529
20.55518019,51.81557821,4.693979994,2.554983829,0.09036650509,-1.0,48.00724964,48.00724964,0.27070968304294757,0.23042997839690926
21.55518639,51.81558028,4.693944517,2.581255982,0.1465472728,-1.0,32.00483309,32.00483309,0.20095930887764418,0.20616476020364188
22.9291935,51.81559051,4.693896264,-33.41816178,0.1465472728,-1.0,24.00362482,24.00362482,0.17039240970030994,0.35366614477182207
23.92919302,51.81559693,4.693909148,2.584145919,0.8854528666,-1.0,24.00362482,24.00362482,0.5720899469838943,0.5059476834560565
24.9291985,51.81560812,4.693912423,2.584172191,0.8854528666,-1.0,24.00362482,24.00362482,0.7481269685544862,0.5584403797684452
25.92919827,51.81560853,4.693916307,2.584174818,0.4539914131,-1.0,16.00241655,16.00241655,0.5828912502112986,0.5994798809893854
26.92920518,51.81560547,4.69393279,2.584175081,0.4539914131,-1.0,16.00241655,16.00241655,0.5104795448499112,0.7843138282262896
27.92920554,51.81560572,4.693950223,2.584175107,1.765777588,-1.0,16.00241655,16.00241655,1.2156648583620493,1.1121441002279042
28.92920458,51.81562294,4.693974489,2.58417511,1.765777588,30.40780411,16.00241655,16.00241655,1.524700166582509,1.3859475343690117
29.92920983,51.81562781,4.693984981,2.58417511,1.298971295,35.58889192,16.00241655,16.00241655,1.3978930822358357,1.4084436531061493
30.92920959,51.81562942,4.693998874,2.58417511,0.8716555834,32.98208533,16.00241655,16.00241655,1.1022700963890437,1.1839547777419734
31.9292146,51.81563314,4.694005878,2.58417511,0.6388247013,27.90394043,16.00241655,16.00241655,0.8419216571980699,0.9011282775154221
32.92921424,51.81563316,4.694015395,2.58417511,0.7569989562,22.63451437,16.00241655,16.00241655,0.7942148660840501,0.7389124194566097
33.92921376,51.81563458,4.694028025,2.58417511,0.7569989562,19.24613778,16.00241655,16.00241655,0.7733081872102332,0.7266908218588596
34.92921364,51.81564211,4.694035409,2.58417511,0.8354350328,8.446073616,16.00241655,16.00241655,0.8082090136386947,0.7869590716791274
35.92921317,51.81564682,4.694046414,2.58417511,0.8354350328,6.861992665,16.00241655,16.00241655,0.8235036992281481,0.8583255889029276
36.92921245,51.81563632,4.69405382,2.58417511,0.8578087091,11.60428393,16.00241655,16.00241655,0.842775129871317,0.9332096989088148
37.92921162,51.81564657,4.694071406,2.58417511,1.220584393,31.88137986,16.00241655,16.00241655,1.055015995556733,0.9951760790245525
38.92921162,51.81564713,4.694084251,2.58417511,0.9287769794,43.49607897,16.00241655,16.00241655,0.9840990522485262,0.979212337498158
39.92921126,51.81564596,4.694110217,2.58417511,0.9287769794,54.96816033,16.00241655,16.00241655,0.9530209242538381,0.8285495088250667
40.92921066,51.81563832,4.69412412,2.58417511,0.07123874128,59.81986226,26.91881822,26.91881822,0.4576645835042419,0.5757327126122156
41.92920959,51.81563421,4.694118536,2.58417511,0.02938576788,66.48215855,26.70804588,26.70804588,0.21707157649448217,0.33818899693348947
42.92920947,51.81563281,4.694125901,2.58417511,0.479436934,71.13482877,26.32062134,26.32062134,0.3644598385163547,0.2269121018131382
43.92920828,51.81563423,4.694138012,2.58417511,0.2568139434,72.61594163,26.08849211,26.08849211,0.30398790141219,0.2666887767966265
44.9292078,51.81563705,4.694144998,2.58417511,0.479436934,70.34437098,26.19219704,26.19219704,0.4025494197167311,0.39843397015873605
45.92920744,51.81563797,4.69414287,2.58417511,0.4807760715,63.77180971,26.34086867,26.34086867,0.44649458979230877,0.5386979406070453
46.92920649,51.81563981,4.694158367,2.58417511,0.758641243,67.64941739,26.19403773,26.19403773,0.6218483527579557,0.6331356513264702
47.92920578,51.81564137,4.694177527,2.58417511,0.7849557996,76.12432977,25.65900743,25.65900743,0.7134767725270842,0.6765375425608534
48.92920554,51.8156381,4.694181547,2.58417511,0.7849557996,67.9953733,25.20100893,25.20100893,0.7536313480727346,0.7045083724009484
49.92920506,51.81564073,4.69418701,2.58417511,0.7849557996,50.7634788,41.22016981,41.22016981,0.7712283986528274,0.7596613620573758
50.92920387,51.81564369,4.69419202,2.58417511,0.793551147,43.33740685,41.30936808,41.30936808,0.7837685873097858,0.8443330206127219
51.92920363,51.81565024,4.694204491,2.58417511,0.9273117781,49.05367413,41.54315789,41.54315789,0.8644064490024161,0.9051182631719804
52.92920315,51.815655,4.694215571,2.58417511,0.9273117781,50.55854239,32.00483309,32.00483309,0.8997446019175814,0.885199163938584
53.92920244,51.81565771,4.694225983,2.58417511,0.868490696,54.32084281,32.00483309,32.00483309,0.8821871815120936,0.7988760023045969
54.92920125,51.81566101,4.694234535,2.58417511,0.6605072021,59.37971804,32.00483309,32.00483309,0.7576546319605494,0.7276998504386888
55.92920101,51.81566195,4.694241773,2.58417511,0.5398118496,55.95788206,32.00483309,32.00483309,0.6352776939647595,0.7168840097370702
56.92920101,51.81566084,4.694245908,2.58417511,0.5625498891,53.72829999,32.00483309,32.00483309,0.5944215959507266,0.6942932411275402
57.92919934,51.81566351,4.694245732,2.58417511,0.5673629642,52.27635204,32.00483309,32.00483309,0.5792209431232402,0.5419016297754727
58.92919886,51.81566631,4.694246416,2.58417511,0.5673629642,51.12670143,32.00483309,32.00483309,0.5725595190384154,0.2650904402282896
59.92919803,51.81567043,4.694251477,2.58417511,-1.0,-1.0,32.00483309,32.00483309,-0.31085289731762267,0.045182058650221166
60.92919791,51.81567248,4.694253888,-2.603625576,0.5673629642,42.48593839,32.00483309,32.00483309,0.1825000008535187,0.06316657375505925
61.92919743,51.81567445,4.694257335,2.065395041,0.3220781684,42.17502135,32.00483309,32.00483309,0.2609104424063295,0.26708356690188967
62.929196,51.81568055,4.694257783,2.532297103,0.3319236636,38.30582847,32.00483309,32.00483309,0.30080334349065896,0.3713699520346535
63.929196,51.81568048,4.694254323,2.578987309,0.3220781684,38.85235972,32.00483309,32.00483309,0.3127548430976805,0.13800869528915882
64.92919517,51.81568151,4.694262985,2.58365633,-1.0,-1.0,32.00483309,32.00483309,-0.42470781824129783,-0.34956494044969616
65.92919433,51.81568147,4.694273721,-2.661096324,-1.0,-1.0,32.00483309,32.00483309,-0.7478881177754976,-0.7339180960083379
66.92919326,51.81568186,4.694281517,-6.841852947,-1.0,-1.0,32.00483309,32.00483309,-0.889516313320175,-0.720335729091333
67.9291929,51.81567721,4.694288512,-10.17941622,0.4244977236,47.20685245,32.00483309,32.00483309,-0.1513462781579925,-0.3484515421836141
68.92919219,51.81567233,4.694300242,1.307815977,0.4597485065,51.97519192,32.00483309,32.00483309,0.1919467507176651,0.07711923660426317
69.92919171,51.81567368,4.694305203,2.456539197,0.01375014707,54.88641662,32.00483309,32.00483309,0.09184173700909554,0.29347624913902953
70.92919111,51.81566841,4.69432164,2.571411519,0.3668919802,59.44397646,32.00483309,32.00483309,0.2463559522037816,0.285543084599853
71.92919016,51.8156661,4.694329245,2.582898751,0.3289939165,55.74430204,32.00483309,32.00483309,0.29277925310147795,0.2122097045083228
72.92918909,51.81565649,4.694325888,2.584047474,0.2492440492,48.66331857,32.00483309,32.00483309,0.2683226018796496,0.1974904854465045
