"Time (s)","X (hPa)"
-5.443425833E-1,1.013412628E3
4.790774167E-1,1.013429260E3
1.502491417E0,1.013438644E3
2.525886417E0,1.013441238E3
3.549463417E0,1.013441238E3
4.572986417E0,1.013453751E3
4.724298417E0,1.013469849E3
5.672138417E0,1.013470306E3
6.619983417E0,1.013479919E3
7.567860417E0,1.013493042E3
8.515572417E0,1.013504944E3
9.463034417E0,1.013508377E3
1.041047342E1,1.013511887E3
1.135798942E1,1.013516541E3
1.230554242E1,1.013518448E3
1.325314942E1,1.013518524E3
1.420061642E1,1.013551483E3
1.514819242E1,1.013564911E3
1.609581742E1,1.013565826E3
1.704306942E1,1.013580551E3
1.799035342E1,1.013586273E3
1.893760442E1,1.013588486E3
1.988483242E1,1.013644791E3
2.083217342E1,1.013685837E3
2.177939242E1,1.013689117E3
2.272650942E1,1.013689117E3
2.367363042E1,1.013681030E3
2.462083542E1,1.013604279E3
2.556829342E1,1.013554840E3
2.651573942E1,1.013534851E3
2.746304442E1,1.013525467E3
2.841039942E1,1.013512039E3
2.935772642E1,1.013512039E3
3.030497642E1,1.013585892E3
3.125227042E1,1.014050903E3
3.219955542E1,1.014322815E3
3.314695042E1,1.014400558E3
3.409437742E1,1.014551239E3
3.504187242E1,1.014562378E3
3.598918942E1,1.014562378E3
3.693667342E1,1.014562378E3
3.788407642E1,1.014650192E3
3.883153842E1,1.014770203E3
3.977902842E1,1.014995422E3
4.072640042E1,1.015352249E3
4.167377242E1,1.015943375E3
4.262112942E1,1.015943375E3
4.356846942E1,1.015867844E3
4.451581542E1,1.015799637E3
4.546350542E1,1.015799637E3
4.641131242E1,1.015497360E3
4.735909042E1,1.015032425E3
4.830681942E1,1.015032425E3
4.925453642E1,1.014982147E3
5.020231842E1,1.014682846E3
5.115010142E1,1.014287567E3
5.209781742E1,1.014189911E3
5.304555542E1,1.014089050E3
5.399343442E1,1.013481140E3
5.494141142E1,1.013467102E3
5.588946442E1,1.013466873E3
5.683775242E1,1.013466492E3
5.778584842E1,1.013466873E3
5.873382542E1,1.013468323E3
5.968195642E1,1.013469467E3
6.062998442E1,1.013469467E3
6.157808042E1,1.013465805E3
6.252618142E1,1.013465729E3
6.347430042E1,1.013464355E3
6.442249042E1,1.013465729E3
6.537063142E1,1.013478317E3
6.631863742E1,1.013483505E3
6.726679742E1,1.013489227E3
6.821477842E1,1.013505020E3
6.916279742E1,1.013511658E3
7.011034642E1,1.013511658E3
7.105795542E1,1.013511658E3
7.200555042E1,1.013621521E3
7.295320242E1,1.013634491E3
7.390098742E1,1.013634491E3
7.484857142E1,1.013634491E3
7.579597142E1,1.013616791E3
7.674343042E1,1.013542252E3
7.769088742E1,1.013513870E3
7.863836642E1,1.013502045E3
7.958585542E1,1.013482971E3
8.053321742E1,1.013415146E3
8.148107442E1,1.013413544E3
8.242844142E1,1.013363800E3
8.337574642E1,1.013363800E3
8.432308242E1,1.013365402E3
8.527046942E1,1.013381577E3
8.621792442E1,1.013382034E3
8.716546742E1,1.013385010E3
8.811293942E1,1.013392792E3
8.906030342E1,1.013392792E3
9.000774642E1,1.013395462E3
9.095520642E1,1.013396072E3
9.190278942E1,1.013396072E3
9.285037142E1,1.013386917E3
9.379787042E1,1.013386917E3
9.474533842E1,1.013386917E3
9.569289842E1,1.013390656E3
9.664046942E1,1.013397903E3
9.758808042E1,1.013426056E3
9.853578342E1,1.013455887E3
9.948335142E1,1.013483658E3
1.004308614E2,1.013535767E3
1.013784124E2,1.013603973E3
1.023259784E2,1.013658676E3
1.032735924E2,1.013678741E3
1.042213244E2,1.013699188E3
1.051690844E2,1.013699188E3
1.061168464E2,1.013679810E3
1.070646154E2,1.013637314E3
1.080125154E2,1.013628464E3
1.089606734E2,1.013637314E3
1.099089334E2,1.013683090E3
1.108570584E2,1.013699188E3
1.118051944E2,1.013762283E3
1.127533344E2,1.013824234E3
1.137015154E2,1.013997955E3
1.146498944E2,1.014304733E3
1.155983864E2,1.014731750E3
1.165468144E2,1.015055008E3
1.174951094E2,1.015055008E3
1.184435464E2,1.015046463E3
1.193918934E2,1.014799881E3
1.203403554E2,1.014452972E3
1.212887944E2,1.014132538E3
1.222372554E2,1.014100418E3
1.231857794E2,1.014100418E3
1.241343034E2,1.014105682E3
1.250829804E2,1.014189987E3
1.260315094E2,1.014189987E3
1.269800094E2,1.014217529E3
1.279286434E2,1.014156494E3
1.288773344E2,1.014135590E3
1.298259524E2,1.014044037E3
1.307744804E2,1.014044037E3
1.317230294E2,1.014061737E3
1.326716074E2,1.014074860E3
1.336201434E2,1.014100342E3
1.345686704E2,1.014100342E3
1.355173814E2,1.014088135E3
1.364660284E2,1.014088135E3
1.374147704E2,1.014088135E3
1.383634794E2,1.014090347E3
1.393121874E2,1.014090347E3
1.402608344E2,1.014104309E3
1.412095264E2,1.014104309E3
1.421581984E2,1.014099274E3
1.431069254E2,1.014094238E3
1.440558204E2,1.014024277E3
1.450046974E2,1.013933868E3
1.459534944E2,1.013852005E3
1.469022654E2,1.013774338E3
1.478510954E2,1.013700943E3
1.488000844E2,1.013691330E3
1.497490994E2,1.013673630E3
1.506980744E2,1.013654327E3
1.516471084E2,1.013654327E3
1.525960624E2,1.013668365E3
1.535451104E2,1.013695679E3
1.544942174E2,1.013699799E3
1.554433864E2,1.013774872E3
1.563926464E2,1.013816147E3
1.573416014E2,1.013816147E3
1.582903194E2,1.013832321E3
1.592391214E2,1.013885574E3
1.601877114E2,1.013888855E3
1.611365414E2,1.013896408E3
